日付,降水量合計_mm,平均気温_℃,平均湿度_%,降雪量合計_cm,天気概況_昼
2025-11-23,,11.4,62.0,,晴時々曇
2025-11-24,0.0,11.9,64.0,,曇一時雨、雷を伴う
2025-11-25,2.5,12.2,69.0,,曇後時々雨
2025-11-26,10.5,10.4,88.0,,曇時々雨
2025-11-27,0.5,12.9,66.0,,晴時々曇
2025-11-28,24.0,9.9,86.0,,雨時々曇
2025-11-29,0.0,8.1,75.0,,晴時々曇
2025-11-30,,11.9,56.0,,晴一時曇
2025-12-01,0.5,15.1,59.0,,曇時々雨、雷を伴う
2025-12-02,2.0,12.4,82.0,,曇後晴時々雨
2025-12-03,21.5,6.9,87.0,,
2025-12-04,,,,,
2025-12-05,,,,,
2025-12-06,,,,,
2025-12-07,,,,,
2025-12-08,,,,,
2025-12-09,,,,,
2025-12-10,,,,,
2025-12-11,,,,,
2025-12-12,,,,,
2025-12-13,,,,,
2025-12-14,,,,,
2025-12-15,,,,,
2025-12-16,,,,,
2025-12-17,,,,,
2025-12-18,,,,,
2025-12-19,,,,,
2025-12-20,,,,,
2025-12-21,,,,,
2025-12-22,,,,,
2025-12-23,,,,,
2025-12-24,,,,,
2025-12-25,,,,,
2025-12-26,,,,,
2025-12-27,,,,,
2025-12-28,,,,,
2025-12-29,,,,,
2025-12-30,,,,,
2025-12-31,,,,,
